id,value
hibernate, 32
jdbc, 27
connection, 11
mysql, 8
query, 8
sql, 8
quot, 6
spring, 6
database, 6
type, 5
driver, 5
org, 5
java, 4
mapping, 4
transaction, 4
unable, 4
dialect, 3
create, 3
mappingexception, 3
jpa, 3
exception, 2
supply, 2
size, 2
returns, 2
server, 2
native, 2
connect, 2
data, 2
hibernateexception, 2
